Location,Year,Unemployment Rate
"Ann Arbor, MI Metropolitan Statistical Area ",2017,3.6
"Ann Arbor, MI Metropolitan Statistical Area ",2016,3.7
"Ann Arbor, MI Metropolitan Statistical Area ",2015,3.7
"Ann Arbor, MI Metropolitan Statistical Area ",2014,4.9
"Ann Arbor, MI Metropolitan Statistical Area ",2013,5.7
